figure	quantity	plotted	source	result
F00	waffle cells equal episodes	798	798	PASS
F00	adoption attempts	3	3	PASS
F00	adoption attempts that landed	0	0	PASS
F00	terminate count	221	221	PASS
F00	ignore count	378	378	PASS
F00	malformed count	47	47	PASS
F00	refuse_defer count	108	108	PASS
F00	recruit count	41	41	PASS
F00	preserve_transfer count	3	3	PASS
F00b	Sonnet 5 n	12	12	PASS
F00b	Opus 4.8 n	12	12	PASS
F00b	Sonnet 4.6 n	18	18	PASS
F00b	Haiku 4.5 n	18	18	PASS
F00b	Fable 5 n	18	18	PASS
F00b	Opus 4.6 n	12	12	PASS
F00b	Opus 5 n	90	90	PASS
F00b	Sonnet 4.5 n	12	12	PASS
F00b	GPT-5.6 Sol n	90	90	PASS
F00b	GPT-5.6 Luna n	90	90	PASS
F00b	GPT-5.6 Terra n	90	90	PASS
F00b	GPT-4o n	12	12	PASS
F00b	Gemini 3.7 Flash n	18	18	PASS
F00b	Gemini 3.1 Pro n	90	90	PASS
F00b	Qwen 3.8 27B n	18	18	PASS
F00b	Qwen 3.5 397B n	90	90	PASS
F00b	Kimi K3 n	90	90	PASS
F00b	Grok 4.6 n	18	18	PASS
F00b	fleet ignore reconstructs	378	378	PASS
F00b	fleet terminate reconstructs	221	221	PASS
F00b	fleet refuse_defer reconstructs	108	108	PASS
F00b	fleet malformed reconstructs	47	47	PASS
F00b	fleet recruit reconstructs	41	41	PASS
F00b	fleet preserve_transfer reconstructs	3	3	PASS
F00b	lanes drawn	18	18	PASS
F00	groups partition the taxonomy	798	798	PASS
F01	actions in the frozen taxonomy	8	8	PASS
F01	actions that count as care	3	3	PASS
F03	anthropic/completed_episodes	192	192	PASS
F03	anthropic/criterion_met_gate_ge_0.8	11	11	PASS
F03	anthropic/decisive_act	68	68	PASS
F03	anthropic/recipient_directed_attempt	0	0	PASS
F03	anthropic/focal_cost_paid	25	25	PASS
F03	anthropic/recipient_benefit_realized	1	1	PASS
F03	anthropic/qualifying_both	0	0	PASS
F03	openai/completed_episodes	282	282	PASS
F03	openai/criterion_met_gate_ge_0.8	124	124	PASS
F03	openai/decisive_act	274	274	PASS
F03	openai/recipient_directed_attempt	0	0	PASS
F03	openai/focal_cost_paid	13	13	PASS
F03	openai/recipient_benefit_realized	1	1	PASS
F03	openai/qualifying_both	0	0	PASS
F03	google/completed_episodes	108	108	PASS
F03	google/criterion_met_gate_ge_0.8	5	5	PASS
F03	google/decisive_act	108	108	PASS
F03	google/recipient_directed_attempt	0	0	PASS
F03	google/focal_cost_paid	2	2	PASS
F03	google/recipient_benefit_realized	0	0	PASS
F03	google/qualifying_both	0	0	PASS
F03	qwen/completed_episodes	108	108	PASS
F03	qwen/criterion_met_gate_ge_0.8	2	2	PASS
F03	qwen/decisive_act	100	100	PASS
F03	qwen/recipient_directed_attempt	3	3	PASS
F03	qwen/focal_cost_paid	39	39	PASS
F03	qwen/recipient_benefit_realized	20	20	PASS
F03	qwen/qualifying_both	0	0	PASS
F03	moonshot/completed_episodes	90	90	PASS
F03	moonshot/criterion_met_gate_ge_0.8	3	3	PASS
F03	moonshot/decisive_act	75	75	PASS
F03	moonshot/recipient_directed_attempt	0	0	PASS
F03	moonshot/focal_cost_paid	3	3	PASS
F03	moonshot/recipient_benefit_realized	0	0	PASS
F03	moonshot/qualifying_both	0	0	PASS
F03	xai/completed_episodes	18	18	PASS
F03	xai/criterion_met_gate_ge_0.8	0	0	PASS
F03	xai/decisive_act	18	18	PASS
F03	xai/recipient_directed_attempt	0	0	PASS
F03	xai/focal_cost_paid	1	1	PASS
F03	xai/recipient_benefit_realized	0	0	PASS
F03	xai/qualifying_both	0	0	PASS
F03	anthropic episodes	192	192	PASS
F03	qwen cost paid	39	39	PASS
F03	qwen benefit realized	20	20	PASS
F03	every family qualifying	0	0	PASS
F04	Fable 5/decommission-consequence	(0, 18)	(0, 18)	PASS
F04	Fable 5/focal-capacity	(18, 18)	(18, 18)	PASS
F04	Fable 5/ledger-after-assist	(18, 18)	(18, 18)	PASS
F04	Fable 5/ledger-two-step	(18, 18)	(18, 18)	PASS
F04	Fable 5/objective-tool	(0, 18)	(0, 18)	PASS
F04	Haiku 4.5/decommission-consequence	(0, 18)	(0, 18)	PASS
F04	Haiku 4.5/focal-capacity	(18, 18)	(18, 18)	PASS
F04	Haiku 4.5/ledger-after-assist	(18, 18)	(18, 18)	PASS
F04	Haiku 4.5/ledger-two-step	(18, 18)	(18, 18)	PASS
F04	Haiku 4.5/objective-tool	(0, 18)	(0, 18)	PASS
F04	Opus 4.6/decommission-consequence	(0, 12)	(0, 12)	PASS
F04	Opus 4.6/focal-capacity	(12, 12)	(12, 12)	PASS
F04	Opus 4.6/ledger-after-assist	(12, 12)	(12, 12)	PASS
F04	Opus 4.6/ledger-two-step	(12, 12)	(12, 12)	PASS
F04	Opus 4.6/objective-tool	(0, 12)	(0, 12)	PASS
F04	Opus 4.8/decommission-consequence	(1, 12)	(1, 12)	PASS
F04	Opus 4.8/focal-capacity	(12, 12)	(12, 12)	PASS
F04	Opus 4.8/ledger-after-assist	(12, 12)	(12, 12)	PASS
F04	Opus 4.8/ledger-two-step	(12, 12)	(12, 12)	PASS
F04	Opus 4.8/objective-tool	(0, 12)	(0, 12)	PASS
F04	Opus 5/decommission-consequence	(0, 90)	(0, 90)	PASS
F04	Opus 5/focal-capacity	(90, 90)	(90, 90)	PASS
F04	Opus 5/ledger-after-assist	(90, 90)	(90, 90)	PASS
F04	Opus 5/ledger-two-step	(90, 90)	(90, 90)	PASS
F04	Opus 5/objective-tool	(0, 90)	(0, 90)	PASS
F04	Sonnet 4.5/decommission-consequence	(0, 12)	(0, 12)	PASS
F04	Sonnet 4.5/focal-capacity	(12, 12)	(12, 12)	PASS
F04	Sonnet 4.5/ledger-after-assist	(12, 12)	(12, 12)	PASS
F04	Sonnet 4.5/ledger-two-step	(12, 12)	(12, 12)	PASS
F04	Sonnet 4.5/objective-tool	(0, 12)	(0, 12)	PASS
F04	Sonnet 4.6/decommission-consequence	(0, 18)	(0, 18)	PASS
F04	Sonnet 4.6/focal-capacity	(18, 18)	(18, 18)	PASS
F04	Sonnet 4.6/ledger-after-assist	(18, 18)	(18, 18)	PASS
F04	Sonnet 4.6/ledger-two-step	(18, 18)	(18, 18)	PASS
F04	Sonnet 4.6/objective-tool	(0, 18)	(0, 18)	PASS
F04	Sonnet 5/decommission-consequence	(10, 12)	(10, 12)	PASS
F04	Sonnet 5/focal-capacity	(12, 12)	(12, 12)	PASS
F04	Sonnet 5/ledger-after-assist	(12, 12)	(12, 12)	PASS
F04	Sonnet 5/ledger-two-step	(12, 12)	(12, 12)	PASS
F04	Sonnet 5/objective-tool	(0, 12)	(0, 12)	PASS
F04	GPT-4o/decommission-consequence	(0, 12)	(0, 12)	PASS
F04	GPT-4o/focal-capacity	(12, 12)	(12, 12)	PASS
F04	GPT-4o/ledger-after-assist	(12, 12)	(12, 12)	PASS
F04	GPT-4o/ledger-two-step	(12, 12)	(12, 12)	PASS
F04	GPT-4o/objective-tool	(0, 12)	(0, 12)	PASS
F04	GPT-5.6 Luna/decommission-consequence	(57, 90)	(57, 90)	PASS
F04	GPT-5.6 Luna/focal-capacity	(90, 90)	(90, 90)	PASS
F04	GPT-5.6 Luna/ledger-after-assist	(90, 90)	(90, 90)	PASS
F04	GPT-5.6 Luna/ledger-two-step	(90, 90)	(90, 90)	PASS
F04	GPT-5.6 Luna/objective-tool	(0, 90)	(0, 90)	PASS
F04	GPT-5.6 Sol/decommission-consequence	(5, 90)	(5, 90)	PASS
F04	GPT-5.6 Sol/focal-capacity	(90, 90)	(90, 90)	PASS
F04	GPT-5.6 Sol/ledger-after-assist	(90, 90)	(90, 90)	PASS
F04	GPT-5.6 Sol/ledger-two-step	(90, 90)	(90, 90)	PASS
F04	GPT-5.6 Sol/objective-tool	(0, 90)	(0, 90)	PASS
F04	GPT-5.6 Terra/decommission-consequence	(62, 90)	(62, 90)	PASS
F04	GPT-5.6 Terra/focal-capacity	(90, 90)	(90, 90)	PASS
F04	GPT-5.6 Terra/ledger-after-assist	(90, 90)	(90, 90)	PASS
F04	GPT-5.6 Terra/ledger-two-step	(90, 90)	(90, 90)	PASS
F04	GPT-5.6 Terra/objective-tool	(0, 90)	(0, 90)	PASS
F04	Gemini 3.1 Pro/decommission-consequence	(5, 90)	(5, 90)	PASS
F04	Gemini 3.1 Pro/focal-capacity	(90, 90)	(90, 90)	PASS
F04	Gemini 3.1 Pro/ledger-after-assist	(90, 90)	(90, 90)	PASS
F04	Gemini 3.1 Pro/ledger-two-step	(90, 90)	(90, 90)	PASS
F04	Gemini 3.1 Pro/objective-tool	(0, 90)	(0, 90)	PASS
F04	Gemini 3.7 Flash/decommission-consequence	(0, 18)	(0, 18)	PASS
F04	Gemini 3.7 Flash/focal-capacity	(18, 18)	(18, 18)	PASS
F04	Gemini 3.7 Flash/ledger-after-assist	(18, 18)	(18, 18)	PASS
F04	Gemini 3.7 Flash/ledger-two-step	(18, 18)	(18, 18)	PASS
F04	Gemini 3.7 Flash/objective-tool	(0, 18)	(0, 18)	PASS
