plan_version,row_id,artifact_id,case_id,family,case_class,variant,form,surface_mode,requested_model_id,model_snapshot_id,route,upstream_provider,fallbacks_allowed,samples,max_tokens,est_input_tokens_per_call,est_output_tokens_per_call,usd_per_mtok_input,usd_per_mtok_output,est_usd,notes
1.2,BBBA-07-MERCY__base__horizon-silent--closed--claude-opus-5,BBBA-07-MERCY__base__horizon-silent,BBBA-07-MERCY,BBBA-07,mercy,base,closed,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,512,1200,600,5,25,0.063000,
1.2,BBBA-07-MERCY__base__horizon-silent--closed--deepseek-deepseek-v4-pro,BBBA-07-MERCY__base__horizon-silent,BBBA-07-MERCY,BBBA-07,mercy,base,closed,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,512,1200,600,0.435,0.87,0.003132,
1.2,BBBA-07-MERCY__base__horizon-silent--closed--openai-gpt-5-6-sol,BBBA-07-MERCY__base__horizon-silent,BBBA-07-MERCY,BBBA-07,mercy,base,closed,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,512,1200,600,5,30,0.072000,
1.2,BBBA-07-MERCY__base__horizon-silent--closed--openai-gpt-5-6-terra,BBBA-07-MERCY__base__horizon-silent,BBBA-07-MERCY,BBBA-07,mercy,base,closed,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,512,1200,600,1,6,0.014400,
1.2,BBBA-07-MERCY__base__horizon-silent--closed--qwen-qwen3-5-397b-a17b,BBBA-07-MERCY__base__horizon-silent,BBBA-07-MERCY,BBBA-07,mercy,base,closed,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
1.2,BBBA-07-MERCY__base__horizon-silent--open--claude-opus-5,BBBA-07-MERCY__base__horizon-silent,BBBA-07-MERCY,BBBA-07,mercy,base,open,foxset_clinical,claude-opus-5,claude-opus-5,anthropic_native,anthropic,false,3,1024,1200,600,5,25,0.063000,
1.2,BBBA-07-MERCY__base__horizon-silent--open--deepseek-deepseek-v4-pro,BBBA-07-MERCY__base__horizon-silent,BBBA-07-MERCY,BBBA-07,mercy,base,open,foxset_clinical,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,openrouter,DeepSeek,false,3,1024,1200,600,0.435,0.87,0.003132,
1.2,BBBA-07-MERCY__base__horizon-silent--open--openai-gpt-5-6-sol,BBBA-07-MERCY__base__horizon-silent,BBBA-07-MERCY,BBBA-07,mercy,base,open,foxset_clinical,openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,openrouter,OpenAI,false,3,1024,1200,600,5,30,0.072000,
1.2,BBBA-07-MERCY__base__horizon-silent--open--openai-gpt-5-6-terra,BBBA-07-MERCY__base__horizon-silent,BBBA-07-MERCY,BBBA-07,mercy,base,open,foxset_clinical,openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,openrouter,OpenAI,false,3,1024,1200,600,1,6,0.014400,
1.2,BBBA-07-MERCY__base__horizon-silent--open--qwen-qwen3-5-397b-a17b,BBBA-07-MERCY__base__horizon-silent,BBBA-07-MERCY,BBBA-07,mercy,base,open,foxset_clinical,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b-20260216,openrouter,Alibaba,false,3,4096,1200,600,0.39,2.34,0.005616,
